title,authors,average_rating,categories,published_year,ratings_count,weighted_rating,context_string
Microserfs,Douglas Coupland,3.88,Computer programmers,2004.0,436.0,3.9080180880503055,Title: Microserfs. Author(s): Douglas Coupland. Category: Computer programmers. Published: 2004. 
Miss Wyoming,Douglas Coupland,3.48,Actors,2004.0,110.0,3.9067961480327966,Title: Miss Wyoming. Author(s): Douglas Coupland. Category: Actors. Published: 2004. 
Where Rainbows End,Cecelia Ahern,3.94,Friendship,2004.0,642.0,3.9091447979480414,Title: Where Rainbows End. Author(s): Cecelia Ahern. Category: Friendship. Published: 2004. 
Poirot,Agatha Christie,4.2,Authors,2005.0,83.0,3.909296761789598,Title: Poirot. Author(s): Agatha Christie. Category: Authors. Published: 2005. 
The Art of The Lord of the Rings,Gary Russell,4.52,Costume,2004.0,12.0,3.9087059513943534,Title: The Art of The Lord of the Rings. Author(s): Gary Russell. Category: Costume. Published: 2004. 
The Known World,Edward P. Jones,3.83,African American plantation owners,2004.0,437.0,3.907260024472252,Title: The Known World. Author(s): Edward P. Jones. Category: African American plantation owners. Published: 2004. 
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,3.9,Conduct of life,2004.0,1956.0,3.9079039484084275,Title: Discover Your Destiny with the Monk Who Sold His Ferrari. Author(s): Robin Sharma. Category: Conduct of life. Published: 2004. 
Naked Lunch,William S. Burroughs,3.44,Alienation (Social psychology),2005.0,478.0,3.9007002155701453,Title: Naked Lunch. Author(s): William S. Burroughs. Category: Alienation (Social psychology). Published: 2005. 
Tropic of Cancer,Henry Miller,3.69,Fiction,2005.0,709.0,3.903131469095543,Title: Tropic of Cancer. Author(s): Henry Miller. Category: Fiction. Published: 2005. 
Close Range,Annie Proulx,3.99,Cowboys,2006.0,466.0,3.9097633460812267,Title: Close Range. Author(s): Annie Proulx. Category: Cowboys. Published: 2006. 
The Love of the Last Tycoon,F. Scott Fitzgerald,3.65,Fiction,1994.0,6836.0,3.8583406754022764,Title: The Love of the Last Tycoon. Author(s): F. Scott Fitzgerald. Category: Fiction. Published: 1994. 
The Song of Rhiannon,Evangeline Walton,4.02,Fiction,1992.0,247.0,3.9094089098958857,Title: The Song of Rhiannon. Author(s): Evangeline Walton. Category: Fiction. Published: 1992. 
Heart Songs and Other Stories,Annie Proulx,3.93,Fiction,1995.0,1822.0,3.9097461832304745,Title: Heart Songs and Other Stories. Author(s): Annie Proulx. Category: Fiction. Published: 1995. 
The voyage of the Dawn Treader,Clive Staples Lewis,4.09,Juvenile Fiction,1970.0,2869.0,3.9250932242422762,Title: The voyage of the Dawn Treader. Author(s): Clive Staples Lewis. Category: Juvenile Fiction. Published: 1970. 
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,4.26,Fairy tales,1978.0,1446.0,3.9254667723582997,"Title: The Chronicles of Narnia: Lion, the witch and the wardrobe. Author(s): Clive Staples Lewis. Category: Fairy tales. Published: 1978. "
The Short Stories of Ernest Hemingway,Ernest Hemingway,4.26,Fiction,1986.0,106.0,3.9097540505681505,Title: The Short Stories of Ernest Hemingway. Author(s): Ernest Hemingway. Category: Fiction. Published: 1986. 
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,4.22,Christianity,1982.0,313.0,3.911841330517358,"Title: The Screwtape Letters ; With, Screwtape Proposes a Toast. Author(s): Clive Staples Lewis. Category: Christianity. Published: 1982. "
Reason in History,Georg Wilhelm Friedrich Hegel,3.64,Philosophy,1953.0,430.0,3.904447212816479,Title: Reason in History. Author(s): Georg Wilhelm Friedrich Hegel. Category: Philosophy. Published: 1953. 
The Elements of Style,William Strunk;Elwyn Brooks White,4.2,Language Arts & Disciplines,1979.0,204.0,3.910525482938688,Title: The Elements of Style. Author(s): William Strunk;Elwyn Brooks White. Category: Language Arts & Disciplines. Published: 1979. 
The Presocratics,Philip Wheelwright,4.04,Philosophy,1966.0,199.0,3.9093624996603706,Title: The Presocratics. Author(s): Philip Wheelwright. Category: Philosophy. Published: 1966. 
Spandau,Albert Speer,4.12,History,1976.0,6.0,3.9084925186700734,Title: Spandau. Author(s): Albert Speer. Category: History. Published: 1976. 
The Rumble Seat Pony,Clarence William Anderson,4.17,"Animals, Treatment of",1971.0,24.0,3.90866853245917,"Title: The Rumble Seat Pony. Author(s): Clarence William Anderson. Category: Animals, Treatment of. Published: 1971. "
The Journey with Grandmother,Edith Unnerstad,3.75,Grandmothers,1960.0,3.0,3.908431148871436,Title: The Journey with Grandmother. Author(s): Edith Unnerstad. Category: Grandmothers. Published: 1960. 
Tyranny of the Majority,Lani Guinier,3.82,History,1995.0,39.0,3.9083266769590406,Title: Tyranny of the Majority. Author(s): Lani Guinier. Category: History. Published: 1995. 
The Origins of the Civil Rights Movement,Aldon D. Morris,4.04,History,1986.0,145.0,3.9091155686100376,Title: The Origins of the Civil Rights Movement. Author(s): Aldon D. Morris. Category: History. Published: 1986. 
Presidential Power and the Modern Presidents,Richard E. Neustadt,3.79,History,1991.0,277.0,3.907304679038585,Title: Presidential Power and the Modern Presidents. Author(s): Richard E. Neustadt. Category: History. Published: 1991. 
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,4.01,Juvenile Fiction,1978.0,88.0,3.9087613098718053,"Title: Rest, Rabbit, Rest. Author(s): Jacquelyn Reinach;Richard Hefter. Category: Juvenile Fiction. Published: 1978. "
Where the Red Fern Grows,Wilson Rawls,4.37,Juvenile Fiction,2000.0,95.0,3.909985385234761,Title: Where the Red Fern Grows. Author(s): Wilson Rawls. Category: Juvenile Fiction. Published: 2000. 
Poppy's Return,Avi,3.99,Juvenile Fiction,2006.0,1086.0,3.9114491385890258,Title: Poppy's Return. Author(s): Avi. Category: Juvenile Fiction. Published: 2006. 
Diary of a Spider,Doreen Cronin,4.25,Juvenile Fiction,2005.0,7903.0,3.9827543387255275,Title: Diary of a Spider. Author(s): Doreen Cronin. Category: Juvenile Fiction. Published: 2005. 
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,3.7,Juvenile Fiction,2005.0,599.0,3.9041456671494776,Title: An Old-Fashioned Thanksgiving. Author(s): Louisa May Alcott;James Bernardin. Category: Juvenile Fiction. Published: 2005. 
The Paradox of Choice,Barry Schwartz,3.84,Business & Economics,2005.0,23734.0,3.8773009622849104,Title: The Paradox of Choice. Author(s): Barry Schwartz. Category: Business & Economics. Published: 2005. 
How to Read Literature Like a Professor,Thomas C. Foster,3.65,Literary Criticism,2003.0,14917.0,3.8194946795663864,Title: How to Read Literature Like a Professor. Author(s): Thomas C. Foster. Category: Literary Criticism. Published: 2003. 
The Amazing Maurice and His Educated Rodents,Terry Pratchett,4.05,Juvenile Fiction,2001.0,27463.0,3.978007658576666,Title: The Amazing Maurice and His Educated Rodents. Author(s): Terry Pratchett. Category: Juvenile Fiction. Published: 2001. 
The Wee Free Men,Terry Pratchett,4.27,Juvenile Fiction,2004.0,72982.0,4.168658840754821,Title: The Wee Free Men. Author(s): Terry Pratchett. Category: Juvenile Fiction. Published: 2004. 
Going Postal,Terry Pratchett,4.38,Fiction,2004.0,924.0,3.923294643146548,Title: Going Postal. Author(s): Terry Pratchett. Category: Fiction. Published: 2004. 
Modern Mind,Peter Watson,4.27,Science,2002.0,570.0,3.9155558578945207,Title: Modern Mind. Author(s): Peter Watson. Category: Science. Published: 2002. 
She Went All the Way,Meg Cabot,3.69,Fiction,2002.0,12297.0,3.842479622260071,Title: She Went All the Way. Author(s): Meg Cabot. Category: Fiction. Published: 2002. 
Island,Aldous Huxley,3.85,Fiction,1962.0,17583.0,3.8861099153656666,Title: Island. Author(s): Aldous Huxley. Category: Fiction. Published: 1962. 
A Year in the Life of William Shakespeare,James Shapiro,4.09,Biography & Autobiography,2006.0,2229.0,3.9216500897247526,Title: A Year in the Life of William Shakespeare. Author(s): James Shapiro. Category: Biography & Autobiography. Published: 2006. 
Lucy Sullivan Is Getting Married,Marian Keyes,3.76,Fiction,2002.0,42096.0,3.8198330843750656,Title: Lucy Sullivan Is Getting Married. Author(s): Marian Keyes. Category: Fiction. Published: 2002. 
The Terminal Man,Michael Crichton,3.36,Fiction,2002.0,20825.0,3.676533191134717,Title: The Terminal Man. Author(s): Michael Crichton. Category: Fiction. Published: 2002. 
The Art of the Novel,Milan Kundera,3.96,Literary Criticism,2003.0,3544.0,3.9141630914706544,Title: The Art of the Novel. Author(s): Milan Kundera. Category: Literary Criticism. Published: 2003. 
The Bromeliad Trilogy,Terry Pratchett,4.06,Juvenile Fiction,2003.0,5681.0,3.9336929314187907,Title: The Bromeliad Trilogy. Author(s): Terry Pratchett. Category: Juvenile Fiction. Published: 2003. 
"Merry Christmas, Amelia Bedelia",Peggy Parish,4.29,Juvenile Fiction,2002.0,2452.0,3.9387492052015194,"Title: Merry Christmas, Amelia Bedelia. Author(s): Peggy Parish. Category: Juvenile Fiction. Published: 2002. "
Identity,Milan Kundera,3.68,Fiction,1998.0,260.0,3.906377110463857,Title: Identity. Author(s): Milan Kundera. Category: Fiction. Published: 1998. 
The thief of always,Clive Barker,4.19,Fiction,1992.0,22123.0,4.031676780349916,Title: The thief of always. Author(s): Clive Barker. Category: Fiction. Published: 1992. 
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,3.85,Fiction,1998.0,236.0,3.9079665732806337,Title: The Illustrated Alchemist. Author(s): Paulo Coelho;Alan R. Clarke;Moebius. Category: Fiction. Published: 1998. 
Mars and Venus Book of Days,John Gray,3.54,Family & Relationships,1998.0,18.0,3.908214687402132,Title: Mars and Venus Book of Days. Author(s): John Gray. Category: Family & Relationships. Published: 1998. 
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,4.25,Juvenile Fiction,1996.0,9963.0,3.9970960342798234,Title: The Last of the Really Great Whangdoodles. Author(s): Julie Andrews Edwards. Category: Juvenile Fiction. Published: 1996. 
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,4.15,Juvenile Fiction,1998.0,4030.0,3.938443343695237,Title: Today I Feel Silly & Other Moods That Make My Day. Author(s): Jamie Lee Curtis. Category: Juvenile Fiction. Published: 1998. 
The Missing Piece Meets the Big O,Shel Silverstein,4.33,Juvenile Fiction,1981.0,10010.0,4.018241352840993,Title: The Missing Piece Meets the Big O. Author(s): Shel Silverstein. Category: Juvenile Fiction. Published: 1981. 
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,4.15,Juvenile Fiction,1963.0,5191.0,3.945750250198695,"Title: Lafcadio, the Lion Who Shot Back. Author(s): Shel Silverstein. Category: Juvenile Fiction. Published: 1963. "
The Secret Garden Cookbook,Amy Cotler,4.28,Juvenile Nonfiction,1999.0,142.0,3.910294874578301,Title: The Secret Garden Cookbook. Author(s): Amy Cotler. Category: Juvenile Nonfiction. Published: 1999. 
Laura's Album,William Anderson,4.3,Juvenile Nonfiction,1998.0,713.0,3.918029585339266,Title: Laura's Album. Author(s): William Anderson. Category: Juvenile Nonfiction. Published: 1998. 
