isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,api_description
9780006479673,0006479677,If Tomorrow Comes,,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of Sidney Sheldon's most popular and bestselling titles, repackaged and reissued for a new generation of fans.",1994.0,4.04,501.0,49170.0,"***She's Tracy Whitney. Sidney Sheldon's most exciting heroine ever.*** Lovely, idealistic, she's soon to enter into a dazzling world of sumptuous wealth, audacious exploits, and narrow escapes--***and to a passion, dangerous and elusive, that promises to fulfill all her secret dreams ...*** 

***The international bestseller from the master of suspense. A mafia conspiracy and one woman against the world. Tracy Whitey is on top of the world.*** Young, beautiful, intelligent, she is about to marry into wealth and glamour - until, betrayed by her own innocence, she finds herself in prison, framed by a ruthless mafia gang and abandoned by the man she loves. 

***Beaten and broken, but surviving with her dazzling ingenuity, Tracy emerges from her savage ordeal - determined to avenge those who have destroyed her life. Her thirst for revenge takes her from New Orleans to London, from Paris to Madrid and Amsterdam.***

***Tracy is playing for the highest stakes in a deadly game. Only one man can challenge her - he's handsome, persuasive and every bit as daring. Only one man can stop her - an evil genius whose only hope of salvation is in Tracy's destruction.***"
9780006480099,0006480098,Assassin's Apprentice,,Robin Hobb,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fantasy-roman.,1996.0,4.15,460.0,133972.0,"Young Fitz is the bastard son of the noble Prince Chivalry, raised in the shadow of the royal court by his father's gruff stableman.  He is treated like an outcast by all the royalty except the devious King Shrewd, who has him secretly tutored in the arts of the assassin.  For in Fitz's blood runs the magic Skill--and the darker knowledge of a child raised with the stable hounds and rejected by his family.  As barbarous raiders ravage the coasts, Fitz is growing to manhood.  Soon he will face his first dangerous, soul-shattering mission.  And though some regard him as a threat to the throne, he may just be the key to the survival of the kingdom.From the Paperback edition."
9780006482079,0006482074,Warhost of Vastmark,,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995.0,4.03,522.0,2966.0,
9780006483014,0006483011,The Once and Future King,,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",1996.0,4.04,823.0,2805.0,
9780006483892,0006483895,Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories,http://books.google.com/books/content?id=I2jbBlMHlAMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Available in the U.S. for the first time, this is the second volume in the exceptional Legends of the Riftwar series from ""New York Times""-bestselling authors Feist and Rosenberg.",2003.0,3.7,337.0,5083.0,"It should have been so simple . . .

Durine, Kethol, and Pirojil are three mercenaries who have spent twenty years fighting other people's battles, defeating the Tsurani and the Bugs and the goblins. Yet now it seems there are no more enemies to vanquish, leaving them with a few months of welcomed garrison duty as the Riftwar rages on in the west.

When the trio is ordered to accompany a lady and her husband safely to the city of LaMut, it looks like an easy--even cushy--assignment. But in Midkemia, nothing is that straightforward, and the men find themselves trapped by a vicious winter storm in a castle with scheming lords and ladies, an unsolved murder, and nothing less than the political future of Midkemia at stake. . . ."
9780006483908,0006483909,Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction,http://books.google.com/books/content?id=hV4-oITYFN8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Jimmy the Hand, boy thief of Krondor, lived in the shadows of the city. Though gifted beyond his peers, Jimmy is merely a pickpocket with potential--until he aids Prince Arutha in the rescue of Princess Anita from Duke Guy du Bas-Tyra, and runs afoul of ""Black Guy's"" secret police. Facing a choice between disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor, Jimmy chooses the former. Forced to flee the only home he's ever known, Jimmy finds himself among the unsuspecting rural villagers of Land's End, where he hopes to prosper with his talents for con and thievery. But Land's End is home to many who tread the crooked path--and to a dark, dangerous presence even the local smugglers don't recognize. And suddenly Jimmy's youthful bravado and courage are leading him into the maw of chaos . . . and, quite possibly, to his doom.",2003.0,3.95,368.0,5579.0,"Jimmy the Hand, boy thief of Krondor, lived in the shadows of the city. The sewers were his byways and a flea-ridden, rat-infested cellar his home. Although gifted beyond his peers, he was still but a nimble street urchin, a pickpocket with potential. Until the day he met Prince Arutha.Aiding the Prince in his rescue of Princess Anita from imprisonment by Duke Guy du Bas-Tyra, Jimmy runs afoul of Black Guy's secret police. Given the choice of disappearing on his own or in a weighted barrel at the bottom of Krondor's harbor, Jimmy flees the only home he's ever known, venturing south to the relatively safe haven of Land's End. Suspecting that the rural villagers have never encountered a lad with his talent and nose for finding wealth—other people's wealth—he's fairly optimistic about his broadening horizons. But Jimmy is completely unprepared for what greets him.For Land's End is home to others who tread the crooked path, and more, to a much darker secret: a dangerous presence unknown even to the local thieves and smugglers. And Jimmy's youthful bravado and courage will plunge him deep into the maw of chaos and even—if he isn't careful—death."
9780006486145,0006486142,Well of Darkness,,Margaret Weis;Tracy Hickman,,http://books.google.com/books/content?id=XrwaAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Gareth is just a frightened young lad when he is drafted in to be the whipping-boy for the unruly Prince Dagnarus. Yet as they grow to be men, an unshakable bond is formed. And it is their destiny for them to become the two most powerful - and feared - men in the kingdom. But when Dagnarus decides to become a knight himself, he begins a chain of evil events that threaten to destroy the entire kingdom. Only by uniting the Sovereign Stone can peace be restored, and it is up to Dagnarus' brother Helmos to try to achieve this impossible task, using his father's soldiers against his brother's army. All the while, Gareth is gaining mastery over the sinister Void magic, and he is devoted to helping his childhood companion.. This gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters, as we follow them from boys to men. Filled with action, suspense and wonderfully imaginative characters, Water From the Well of Darkness is set to elevate the careers of bestselling authors Weis & Hickman to spectacular new heights.",2001.0,3.66,599.0,68.0,
9780006490456,000649045X,Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama,http://books.google.com/books/content?id=_9u7AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Newly-Jacketed Edition Designed To Celebrate The 50Th Anniversary Of Christie S Faultlessly Plotted Witness For The Prosecution And Other Outstanding Plays. The Perfect Complement To The Latest Edition Of The Mousetrap And Selected Plays (50Th Aniversary Edition). Headlining This Book Is Witness For The Prosecution Christie S Highly Successful Stage Play Which Won The New York Drama Critics Circle Award For Best Foreign Play. A Stunning Courtroom Drama, It Tells The Story Of A Scheming Wife Testifying Against Her Husband In A Shocking Murder Trial. The Wild Beauty Of A Seaside House Perched High On The Devonshire River Tern Provides A Stunning Back-Drop In Towards Zero As A Psychopathic Murderer Homes In On The Unsuspecting Victims. Passion, Murder And Love Are The Deadly Ingredients In Verdict, Making It One Of Christie S More Unusual Thrillers And Prompting Her To Label It The Best Play I Have Written With The Exception Of Witness For The Prosecution . Go Back For Murder Tells The Story Of The Young And Feisty Carla Who, Orphaned At The Tender Age Of Five, Discovers Her Mother Was Imprisioned For Murdering Her Father And Determines To Prove Her Innocence.",1995.0,4.05,352.0,3908.0,
9780006496434,0006496431,The Little House,,Philippa Gregory,Country life,http://books.google.com/books/content?id=rbvUPps9vKsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It was easy for Elizabeth. She married the man she loved. It was harder for Ruth. She married Elizabeth's son and then found that, somehow, she could never quite measure up. This thriller examines what women want and what they fear, as Ruth confronts the shifting borders of her own sanity.",1998.0,3.66,368.0,1832.0,"It was easy for Elizabeth. She married the man she loved, bore him two children and made a home for him which was the envy of their friends. It was harder for Ruth.

She married Elizabeth’s son and then found that, somehow, she could never quite measure up! Isolation, deceit and betrayal fill the gaps between the two individual women and between their different worlds. In this complex thriller, Philippa Gregory deploys all her insight into what women want and what women fear, as Ruth confronts the shifting borders of her own sanity. Laying bare the comfortable conventions of rural England, this spine-tingling novel pulses with suspense until the whiplash double-twist of the denouement."
9780006496878,0006496873,Mystical Paths,,Susan Howatch,English fiction,http://books.google.com/books/content?id=by4ytBy63o0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1968 finds Nicholas Darrow wrestling with personal problems. How can he marry Rosalind when he is unable to avoid promiscuity? How can he become a priest when he finds it so difficult to live as one? And can he break his dangerous dependence on his father?,1996.0,4.23,576.0,1023.0,
9780006496892,000649689X,Glittering Images,,Susan Howatch,English fiction,http://books.google.com/books/content?id=rDHbn0ORKhQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It is 1937, and Charles Ashworth, a Canon to the Archbishop of Canterbury, is sent to untangle a web of self-delusion and corruption at the episcopal palace of the charismatic Bishop of Starbridge.",1996.0,4.07,512.0,2045.0,
9780006496922,000649692X,Glamorous Powers,,Susan Howatch,Clergy,http://books.google.com/books/content?id=_bhPYWs6RrYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Reissue of the author's most famous and well-loved work, the Starbridge series, six self-contained yet interconnected novels that explore the history of the Church of England through the 20th century.",1996.0,4.2,512.0,1441.0,Une visite attendue au roman ##Les belles apparences## et forme le deuxième tome d'une série romanesque inspirée par la pensé religieuse de William Ralph Inge. [SDM].
9780006498865,0006498868,The Mad Ship,,Robin Hobb,Fantasy fiction,http://books.google.com/books/content?id=2iWezkfdBE8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fantasy master Robin Hobb delivers the stunning second volume of her Liveship Traders trilogy, returning to the timeless city of Bingtown, where pirates now plague the coasts and the dreaded slave trade flourishes. Althea Vestrit doesnt have time to be afraid, for her familys newly awakened Liveship, Vivacia, has been seized by the ruthless pirate Kennit. So Althea hatches a bold plan. But to carry it out, she must recruit a Liveship that has already slain two crews -- and is said to be insane.",2000.0,4.24,906.0,36101.0,
9780006499169,0006499163,Post Captain,,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",http://books.google.com/books/content?id=S761k-z51Q4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This tale begins with Jack Aubrey arriving home from his exploits in the Mediterranean to find England at peace following the Treaty of Amiens. He and his friend Stephen Maturin, surgeon and secret agent, begin to live the lives of country gentlemen, hunting, entertaining and enjoying more amorous adventures. Their comfortable existence, however, is cut short when Jack is overnight reduced to a pauper with enough debts to keep him in prison for life. He flees to the continent to seek refuge: instead he finds himself a hunted fugitive as Napoleon has ordered the internment of all Englishmen in France. Aubrey's adventures in escaping from France and the debtors' prison will grip the reader as fast as his unequalled actions at sea.",1996.0,4.29,474.0,7815.0,"Presents the continuation of Jack Aubrey's life as the Peace of Amiens docks the Commander onshore, to France, and back to sea."
9780006499268,0006499260,The Reverse of the Medal,,Patrick O'Brian,Adventure stories,http://books.google.com/books/content?id=YtjxFRb39Z4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this book, Jack Aubrey returns from his duties protecting whalers off the South American coast and is persuaded by a casual acquaintance to make investments in the City on the strength of supposedly certain information. From there he is led into the half-worlds of the London criminal underground and of government espionage - the province of his friend, Stephen Maturin.",1997.0,4.41,261.0,177.0,First edition in Polish.
9780006499626,0006499627,Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English",http://books.google.com/books/content?id=a96qPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Miss Marple featured in 20 short stories, published in a number of different collections in Britain and America. Presented here in their order of publication, Miss Marple uses her unique insight to deduce the truth about a series of unsolved crimes.",1997.0,4.2,359.0,6235.0,
9780006511489,0006511481,The Years of Rice and Salt,,Kim Stanley Robinson,Black Death,http://books.google.com/books/content?id=I38CFD1RnmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Hailed by ""The New York Times Book Review"" as ""eye-opening, "" this alternative history of the last 600 years begins as the Black Death kills nearly everyone in Europe, and China, India, and the nations of Islam now control the world.",2003.0,3.73,772.0,194.0,"With the incomparable vision and breathtaking detail that brought his now-classic Marstrilogy to vivid life, bestselling author KIM STANLEY ROBINSON boldly imagines an alternate history of the last seven hundred years. In his grandest work yet, the acclaimed storyteller constructs a world vastly different from the one we know....The Years of Rice and SaltIt is the fourteenth century and one of the most apocalyptic events in human history is set to occur--the coming of the Black Death. History teaches us that a third of Europe's population was destroyed. But what if? What if the plague killed 99 percent of the population instead? How would the world have changed? This is a look at the history that could have been--a history that stretches across centuries, a history that sees dynasties and nations rise and crumble, a history that spans horrible famine and magnificent innovation. These are the years of rice and salt. This is a universe where the first ship to reach the New World travels across the Pacific Ocean from China and colonization spreads from west to east. This is a universe where the Industrial Revolution is triggered by the world's greatest scientific minds--in India. This is a universe where Buddhism and Islam are the most influential and practiced religions and Christianity is merely a historical footnote. Through the eyes of soldiers and kings, explorers and philosophers, slaves and scholars, Robinson renders an immensely rich tapestry. Rewriting history and probing the most profound questions as only he can, Robinson shines his extraordinary light on the place of religion, culture, power, and even love on such an Earth. From the steppes of Asia to the shores of the Western Hemisphere, from the age of Akbar to the present and beyond, here is the stunning story of the creation of a new world.From the Hardcover edition."
9780006512677,0006512674,Spares,,Michael Marshall Smith,Human cloning,http://books.google.com/books/content?id=83RrAdP9y5UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Spares - human clones, the ultimate health insurance. An eye for an eye - but some people are doing all the taking. The story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference.",1998.0,4.13,317.0,2481.0,"Talking fridges, human clone farms, flying shopping malls – we must be in the Michael Marshall Smith zone. A world all too close to our own...Spares – human clones, the ultimate health insurance. An eye for an eye – but some people are doing all the taking. Spares – the story of Jack Randall: burnt-out, dropped out, and way overdrawn at the luck bank. But as caretaker on a Spares Farm, he still has a choice, and it might make a difference...if he can run fast enough. Spares – a breathless race through strange, disturbing territories in a world all too close to our own. Spares – it's fiction. But only just..."
9780006513087,0006513085,Gravity,,Tess Gerritsen,Science fiction,http://books.google.com/books/content?id=KI66cH39n6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Emma Watson a research physician has been training for the mission of a lifetime: to study living organisms in the microgravity of space. But the true and lethal nature of the experiment has not been revealed to NASA and once aboard the space station things start to go wrong. A culture of single-celled Archaeons, gathered from the deep sea, begin to rapidly multiply and infect the crew - with deadly and agonising results. As her estranged husband and ground crew at NASA work against the clock to launch a rescue Emma stuggles to contain the lethal microbe. But with the contagion threatening Earth's population, there are those who would leave the astronauts stranded in orbit, quarantined aboard the station.",2004.0,4.04,342.0,8024.0,"Presents information on the scientific principle of gravity, how it was discovered, and how knowledge of its effects is applied by astronomers. Includes directions for a simple experiment."
9780006514640,0006514642,The Wise Woman,,Philippa Gregory,Great Britain,http://books.google.com/books/content?id=BEr9wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Alone and vulnerable, Alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when Henry VIII's wreckers destroy her sanctuary. With nothing but her looks, her magic and her own instinctive cunning, Alys has to tread a perilous path between the faith of her childhood and her own female power. When she falls in love with Hugo, the feudal lord and another woman's husband, she dips into witchcraft to defeat her rival and to win her lover, only to find that magic makes a poor servant but a dominant master. Since heresy against the new church means the stake, and witchcraft the rope, Alys's danger is mortal. A woman's powers are not longer safe to use...",2002.0,3.31,640.0,6583.0,"This is a haunting story of a woman’s desire in a time of turbulence. Alys joins the nunnery to escape hardship and poverty but finds herself thrown back into the outside world when Henry VIII’s wreckers destroy her sanctuary.

With nothing to support her but her looks, her magic and her own instinctive cunning, Alys has to tread a perilous path between the faith of her childhood and her own female power. When she falls in love with Hugo, the feudal lord and another woman’s husband, she dips into witchcraft to defeat her rival and to win her lover, but finds – as her cynical old foster-mother had advised – that magic makes a poor servant but a dominant master.

Since heresy against the new church means the stake, and witchcraft the rope, Alys’s danger is mortal. A woman’s powers are no longer safe to use!"
9780006514855,0006514855,Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,American fiction,http://books.google.com/books/content?id=xLwHHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"'Girls' Night In' features stories about growing up, growing out of, moving out, moving on, falling apart and getting it all together. So turn off your cell phone and curl up on the couch: this is one 'Girls' Night In' you won't want to miss.",2000.0,3.26,586.0,140.0,"21 TALES FROM THE HOTTEST FEMALE WRITERS

In this must-have short-story collection, Jennifer Weiner revisits on of her Good in Bed characters (and tells the story from, ahem, his point of view), Jill A. Davis (Girl's Poker Night) offers darkly humorous take on starting over in New York and working with ""the Elizabeths"" and Alisa Valdes-Rodriquez (The Dirty Girls Social Club) muses on how different the words lady and woman are when paired with cat.

Girl's Night In features stories about growing up, growing out of, moving out, moving on, falling apart and getting it all together. So turn off your cell phone and curl up on the couch: this is one Girl's Night In you won't want to miss.

Contains: 

Party Planner by Meg Cabot
Traveling Light by Carole Matthews
Cat Lady by Alisa Valdes-Rodriguez
Changing People by Sophie Kinsella 
New York by Jill A. Davis
Revenge by Emily Barr
Here Comes Harry by Jessica Adams
Know It All by Sarah Mlynowski
In Agony by Isabel Wolff
Dating the Enemy by Lauren Henderson
From This Moment by Megan McCafferty
What Goes Around by Louise Bagshawe
Rudy by Lisa Jewell
The Truth Is Out There by Marian Keyes
Here We Are by Lynda Curnyn
Siren Songs by Stella Duffy
The Marrying Kind by Anna Maxted
Don't You Know Who I Am? by Adèle Lang
Good Men by Jennifer Weiner
Dougie, Spoons and the Aquarium Solarium by Jenny Colgan
Acting Strangely by Chris Manby"
